review_body,review_date
"We stayed in an executive room on the 9th floor for 4 nights. Access to the executive lounge was wonderful and the staff are so helpful and welcoming. The hotel's facilities are definitely 5 star. The food is faultless and the friendliness of staff in every area of the hotel is superb. I cannot recommend this hotel more, it's absolutely perfect. I do have Sri Lanka recovers from the recent slump in tourism because it is truly a gorgeous country.",21-Jul-19
,
"We thoroughly enjoyed the breakfast buffet at the Courtyard restaurant. The service was outstanding and the food was excellent. We were traveling with our 7 month old daughter and the staff was always so sweet to her, greeting her by name and bringing fruit for her to eat. They took such excellent care of us and we looked forward to going there for breakfast daily. I would highly recommend this restaurant to anyone traveling to the Cinnamon Grand hotel. Specifically, Thilini, Imashi, Darshana, Hilmy, Anuradha, Chalani, and Praneeth were particularly kind and accommodating, though we were impressed with the entire restaurant staff.",21-Jul-19
,
"Yesterday me & my girlfriend went to Lagoon restaurant for a dinner to celebrate our anniversary.we've booked the special pond area table.It was well arranged & we had a lovely experience.The staff,Mr Rangith the manager & Lakshan who served did a tremendous service.I strongly recomend the couples to visit the venue for delicious Seafood & collect lovable memories for your special days.Cheers to lagoon...!",21-Jul-19
,
Excellent service was rendered with a personal touch. Although we patronised after a long time still we find consistency of the service standards are being maintained. Keep up the good work going! Thanks!,21-Jul-19
,
The staff are very friendly and welcoming and display top quality service. Mangala in particular made us feel at home and we had a pleasant time talking to him. The food is true to Sri Lankan cuisine with many varieties of curries. The atmosphere and the appearance of the restaurant includes elements of Lankan culture such as the hut and the trees surrounding the place. Francis made amazing hoppers that were served hot to our table. Overall had a lovely night with our family. Thank you Nuru Guma for your excellent service.,21-Jul-19
,
"I went on a trip with friends to Sri Lanka and had the pleasure of staying in Cinnamon Grand Colombo. We received an upgraded room with a pool view for our 2 night stay. It is one of the most beautiful five star hotels, walking distance from an underground shopping mall and Spa Ceylon.",21-Jul-19
,
We really enjoyed the great variety of food here as well as the lovely music and village setting that created a great atmosphere. Would recommend and will come back. We enjoyed the ambience and service,21-Jul-19
,
"We stayed on the executive floor. The staff were exceptional and go out of their way to help you, hotel is lovely, food was good quality. Great for families, couples or solos. Lots of choice of restaurants.",21-Jul-19
,
It was superb night at cinnamon lagoon to have dinner and the service we experienced by the staff was excellent and we loved the food. The cuisine was awesome. Special Thanks to Mr.Ranjith Resturant Manager Cinnamon Lagoon VISIT SRI LANKA AND EXPIERINCE THE HOSPITALITY . ,21-Jul-19
,
Dinner at nugagama on 21.07.19First day after the bomb in srilanka.I did not find any difference at the place.It is really good and same ambiance as before.This place is very welcoming and staff are very nice.,21-Jul-19
,
Sevice food and service is very well.also the stff Mr.Kusal and Riskan including other staff service is satisfied .I hope gain will conduct the same meeting at cinnamon grand.Specially food serving and taste very well.,21-Jul-19
,
"We had a family dinner at Cinnamon Grand Nuga Gama recently. We were quite impressed with the variety of delicious food available. The chicken curry was the show stopper, an absolute must try! It was well worth the money! ",21-Jul-19
,
This is a place which remind us traditional Sri Lankan Culture. People here are nice and friendly. I love this Sri Lankan foods. I would like welcome all the people around the world to visit this nice place.,21-Jul-19
,
This is our first dinner at nugagama but it gave us a wonderful evening. The food is tasty that gives the real sri lankan flavours. The people in the restaurant is friendly and gave us a great service. Happy evening and hope to visit again in near future...,21-Jul-19
,
A beautiful ambience. Very pleasant environment to spend time with family and friends. Suren was very helpful and friendly! The staff provide wonderful service. Starting from the unique Sri Lankan smile that greets us. ,21-Jul-19
,
"Lunch at Nuga Gama. EX OBEROI Staff get together today 21.07.19)87 of former OBEROI(now cinnamon grand) colleagues visited Nuga Gama for Lunch. Iet was a memorable occasion. The Cinnamon Grand has come back to normalcy thanks to the efforts of the staff from the entrance to the back office staff. Lunch was very good, service of high standard. Entertainment exclusive. Staff who supported were Ruwan manager, Captain Mangala, hopper maker Francis and Dananjaya were truly supportive. Keep up the good work. Jayantha Ratnayake on behalf of EX OBEROI staff.",21-Jul-19
,
This ground was where we learnt the art of service in the hotel industry.The good work is well continued with the present staff @ NUGA GAMA..Special mention should be made for the excellent service and PR the staff has cultivated...Good luck and cheers to all at CINNAMON GRAND.,21-Jul-19
,
As always kindEfficiently Cinnamon Grand staStaff mangal served us his service was class always smiling Nuga Gama is beautiful the atmosphere is cool the music soothed our minds a small commercial city but a big city thank u soo mic for everything love Ex Oberon GOD bless I all Aloma &Lana,21-Jul-19
,
This is my first visit to Nuga gama the place is fantastic and the food is very tasty with an awesome spread.. The staff is very friendly and efficient.. we had a fabulous time and hoping to visit again... thanks. With gods blessings..,21-Jul-19
,
"Great service and pleasant staff , atmosphere was amazing,Recommended for others..buffet was great.. full of srilanka and they have hopper action also.nice uniform which they have selectedPlease visit",21-Jul-19
,
The food was really good .service fantastic good well traninn staff.the commercial city small village atmosphere and ambiance also dannajaya and krishmal thay asked my beverages it was delicious thank for all .we will come back again .,20-Jul-19
,
Attended a wedding yesterday at the Oak room and had a very pleasant evening. The food was good with a complimenting and extensive spread. The staff were helpful and hospitable as always. Looking forward to visiting again.,20-Jul-19
,
"Our Sunday mornings at Cinnamon Grand Coffee stop with our one year old, great food and drink and more over great staff. With manager Delucian supported by Dilshan and Nilupul who served us. Keep up the great service guys. Show the world what Sri Lankan hospitality is all about. ",20-Jul-19
,
"Attending a wedding at Cinnamon Grand always is an exceptional experience you ponder for the next couple of days, last evening was nothing different. The food was excellent, the service was impeccable. What I would like to highlight the most is the passion of the team who is in charge of the show, is something I find very rare in most of my experiences, their smile, greet, the urge to make sure the guests are been taken care of at all times is nothing short of excellence. Thank you for living up to the name Cinnamon Grand, Grand it was. Special thanks to Kulasekara and Supun and the team for another grand experience.",20-Jul-19
,
We had an event on the 20th July at the oak room.the banquet operation tema was very friendly to work with and they helped us throughout the event. Even the mouthwatering food served was an amazing experience. Highly recommend the hotel for weddings and events.,20-Jul-19
,
"Great service by Sanjeeva, Lakshan and Ranjith. Amazing food. The red curry modha fish and and the tamarind cuttlefish in particular are highly recommended. Would definitely come back again and try other dishes",20-Jul-19
,
"Excellent dinner. The custom pesto with spaghetti on Mirshard's reccomendations was on point. The beef cheeks were good too. The Grappamisu for dessert was one of the best we've had. Service is excellent, good ambience.",20-Jul-19
,
The staff is so friendly and food is excellent. Would definitely come back to this place. Staff is always so warm and welcoming. The soup noodle dishes are really nice and value for money. ...............,20-Jul-19
,
Supereb customer service and food.We had item no 12 under appetizers no 55 shanghai seafood noodles. Very good and friendly service also. Enjoyed the dining experience and look forward to visiting again ,20-Jul-19
,
Noodle is one of my favorite dining places and I simply love the food. The staff is so friendly and at the same time super efficient. Service is quick and food is always upto the mark. This is a great value for money restaurant. ,20-Jul-19
,
"Awesome food.. pork noodles to die for and staff so friendly.. especially Vishaka and Nirosh.. great service with a lot of care.. if your in colombo, it's the place to drop in fir a good bit of noodles..",20-Jul-19
,
Friendly staff...... best cheese cake in the town Verities of cheese cakes to taste......Chef ‍ pathirana and Curator Stanislaus took care the well being of us.. can recommend for a anyone who like to have nice cup of coffee and a cake ,20-Jul-19
,
Service by- PriyadharshanaMR priyadarashana was really good for us he was so active even tho we asked so many time to serve and the food was really good and its really enough also and the music also made our mind calm,20-Jul-19
,
The food quality and service is very good. Keep it up Cheers We had a person calls Mr priyadarshana he was really good and friendly. We asked so many times for stuffs but still he was very active .,20-Jul-19
,
Love this place which is overlooking the pool - great place for a chilled out drink with friends. Food is delicious and drinks are nice. Service is pretty good and staff is very attentive and friendly. ,20-Jul-19
,
"We were occupying 3 rooms in the executive wing for 3 days & the rooms were spacious & full of light , was equipped with everything we needed . The staff was amazing in their service, extremely polite & very accomodating . Executive lounge manager Indika was so delightful to deal with & so was our butler Upul . The breakfast at the Executive lounge was so delicious , we could have our meal in a quiet environment . Enjoyed the high tea & the happy hour very much . Thank you very much & we sure will be back again next time when we are in Colombo .",20-Jul-19
,
The best place to dine or have a drink in Colombo!!!! Priyadharahana at breeze bar always goes out of his way to help the guests have the best experience! Thanks CG for always making it the best! You’ll define true SRI Lankan hospitality!,20-Jul-19
,
We actually had a nice buffet in nugagama cinnamon grand where you can actually feel the Sri Lankan vibe. We had curries with rice all are authentic Sri Lankan traditional curries also the view was great. No one actually can think of a typical Sri Lankan view in the middle of busy colombo. Great place to enjoy!!!,20-Jul-19
,
Surprise birth day and Excellent serviceI was there to celebrate my wife birthday at Coffee stop restaurant Cinnaman grand Colombo . I have to say Curator Stanislaus and Bala showed excellent customer service. They are professional and know what they are doing. We had a memorable celebration. I would encourage and recommend this place to others as well. Would love to come again. They are competent and excellent at what they do. Thank you Stanislaus you made our day so memorable.Cheers,19-Jul-19
,
"Had another amazing stay in my home from home ( just applied allot more ) in Cinnamon Grand . I judge every hotel with the 3 B's . Bed - Too comfortable . Bathroom - Too many luxuries . Breakfast - Too much choice . The hotel and staff do not just get obvious things correct they go into the detail , amazing. Setting the standards for all Colombo to follow.",19-Jul-19
,
"I stayed recently at the cinnamon grand hotel on a short business trip to Colombo. The location , service and the room with a great view..i ordered to dinner in the room..food was on the time delicious the food...food was really nice and uthayaraj was an excellent service and friendly...i enjoyed food and my visit...",19-Jul-19
,
"Very tasty food as always.. friendly staff, super service .. never get tired of this place Nirosh is the person who has served us... we really like this place and will always come back with pleasure",19-Jul-19
,
We went to Chutneys for my mums Bday and we had a super experience. We had a Thalis platter that I have never tried before and it was really good. We were hosted by Rashmika and he gave an exceptional serviceGlad to be back at CG!,19-Jul-19
,
Our family visited Chutneys restaurant at cinnamon grand hotel for a special dinner! The food was exceptional! Great ambience! Rashmika served us brilliantly! We are very happy to recommend this place to everyone! We will visit this place again soon ! ,19-Jul-19
,
"Excellent environment, friendly service, great menu choices and really decent food and at affordable prices. Will be back.“ “What a lovely restaurant, good food and service and atmosphere, definitely hope to go back.Thanks for your serviceNiroshan and sameera",19-Jul-19
,
"I love lagoon restaurant seafood dinner. Excellent service by capatan Lolitha, Lakshana and Prasad. Wonderful ambiance to dine in. The food is out if this world. The starter was amazing by Chef Tharindu.My favourites are devilled fish roe and the rice noodles. Thank you very much team Lagoon and thank you Chathuri.Keep up the good work and you always makes us feel at home.",19-Jul-19
,
Good Staff ( Nirosh & Gayan) vishaka ..Good Food ( the Vegi Suop was awesome ) ..Good Hospitality ( Warm Welcome) ...Exelent Experience ( Romantic outlook)..Keep Up the good work keeping everything...thank noodles,19-Jul-19
,
We all had an amazing time at Noodles restaurant. They have the best staff who makes you feel like home. Nirosh who served us was very friendly and was very helpful in selecting our food. Highly recommended! ,19-Jul-19
,
Nicely set Resturant in amidst busy Colombo stands big among all the Resturants in COLOMBO. Specially the serving people here are very knowledgeble and helpful. Thank to all the beautiful served us specilallynDilani and malinda,19-Jul-19
,
It was a great experience at Shisha bar cinnamon grand on a friday night. This has been one of our usual favorite restaurants with yummy food and a great customer experience with the excellent service of priyadarshana and chandika whenever we come here. Highly recommend this place to all who wants to have a chill night. Thank you for your amazing hospitality as always.,19-Jul-19
,
"Ambiance is perfect the staff particularly Malinda, was excellent and the food was delicious,,Hats off to the chef. It is safe and beautiful to come back to I have been coming since it’s been Oberoi and stil amazed by its beauty.Geeth and Mahesh Perera Melbourne Australia",19-Jul-19
,
"Love their drinks. Love their food. The staff is so nice and good in the work. The place is situated in an ideal and breezy place suitable for the name of the bar. Love to visit the place with my friends. The guy who served us today, Priyadarshana was super friendly and helpful! The prices are also affordable so it is always healthy for the wallet too!!",19-Jul-19
,
"Very comforting environment. This is always my “go to” bar. Love the place and the drinks they serve. I love their blue lagoon and their tequila sunrise!The food is also awesome! The staff is very friendly and helpful. They are efficient too. Especially Priyadarshana, who was our host for the night today. He is very friendly and quick in serving. I would definetely come here again!",19-Jul-19
,
The food was excellent I must say. We've been here many times but this was the best! Staff morale super in spite of the problems. Service has improved by leaps and bounds. We tried the bar for cocktails and we're pleasantly satisfied. Great job Cinnamon Grand. Keep up the good work and good luck !,19-Jul-19
,
Have been visiting CG for many many years for weddings and functions and their banquet operations team never fails to amaze me.Visited for a wedding last week and was so happy to see that even with over 500 guests the staff went out of their way to make sure every guests felt at home!Cinnamon Grand for the win!!!,19-Jul-19
,
"We had 2 AGMs at the Cinnamon Grand, Ivy Room in July 2019. All staff were very helpful and accommodated our requests. All arrangements were done as per our requests and requirements.Andrea, Kusal and his team did an excellent job with all arrangements.",19-Jul-19
,
We enjoy the my friends wedding at oak room Dulan chathuranga was good at bar service as a-good barman I was enjoyed with his experiences and also operation team best time to enjoy the wedding at cinnamon grand,19-Jul-19
,
its a pleasure to have kind of this service from banquer operation team specially barman dulan perera was exellent with his service. We just enjoy the wedding we reciced a very friednly and best service.,19-Jul-19
,
"The coffee stop is the best place to get some delicious pastries and goodies.Most of all their service is great,Dilshan treated me really well.to be honest I felt like a was at home .Good job the whole team keep this going!!",19-Jul-19
,
"The top ratings the Cinnamon Grand has on Trip Advisor are absolutely justified - it really is as wonderful as everyone says! It is calm, beautiful, and you are made to feel so special by every member of staff. For example I couldn't decide what to order from the amazing menu at Chutneys restaurant, so the chef made me a bespoke curry which was delicious. The Breeze Bar next to the pool is tranquil and beautiful. The breakfast in the Courtyard is the perfect way to start a day - lots of fruit and omelettes made just how you want. Special mention of Taniya at reception who made me feel so welcome on my arrival (I was stressed, dirty and exhausted after a long haul flight, and within 2 minutes of presenting myself at the CG reception desk I had recovered my sense of self-worth and felt human again!), and Dilshan at the coffee shop.",18-Jul-19
,
I'd like to tell you a story about the Great Cinnamon Service...... Previous to reaching this hotel I stayed at Cinnamon Lodge Habarana and left behind 3 shirts. Knowing that I would be at Cinnamon Grand some days later I rang the hotel and asked if it was possible to have the shirts sent on to Cinnamon Grand. Not only did they send the shirts on but they also had them laundered and they were hanging up in the closet of my allocated room. Service with a smile My thanks go to Meliissa at Cinnamon Lodge and Tharika at Cinnamon Grand for coordinating the effort. Special mention to Leeza and Taniya at the front desk who make me feel like I am coming home. Upali in the Breeze bar and of course Merril who greets us regulars like long lost friends. It was nice to see Kularuwan again in the Courtyard Cafe who remembers my quirky breakfast requests and treats me like a princess. Much gratitude..Bohoma Isthuthi.Finally on check out top marks to Yasir (Trainee) who handled all my queries with efficiency and professionalism. Well done. I will be back in December to enjoy this wonderful hotel that is recovering from the Easter Sunday incident. Wishing the new Manager all the best. I know this place will continue to grow and flourish. See you soon CG.,18-Jul-19
,
"Great time at the London Grill. Well worth it, all my friends were thrilled to be there. Best part was our very own curator Shanker,happily engaged with us throughout the evening he also gave us a brief history lesson about the restaurant, this restaurant has been showing consistency for over three decades, being the best thought the time. Nice and quiet with soothing piano music by the Ukrainian pianist. Shanker gave us a wonderful flaming French coffee right in front of the table,which was a great way to finish off the evening. We Specially thank all the guys including the manager and all service staff,the chefs dressed up in white, and last but not least Curator Shanker, the evening was just plain superb.....",18-Jul-19
,
"Best place for shisha place in colombo. And best environment, good food and services. Thumbs up for priyadarshan and chandika hospitality. 5* service guranteed. We will always comeback for this best services and friendly staffs.",18-Jul-19
,
I and a friend(local) came to Cinnamon Grand to grab a nice dinner. Right at the garden situated a nice cozy chinese restaurant TAO seated on a lovely chinese garden within the koi pond. The vibes just astounding so as the service which our hostess dilani made more accommodating. A simple starter of dimsum to the main course of sichuan dish to name a few is pleasing with a complementary egg tart and a passion fruit arak infusion ... that was a great service ,18-Jul-19
,
After the quiet break we hot nice time and such a surprise in my life never ever gifts giving party today we celebrated thanks mr.gale we Will continue with hereafter i blessed my staff to work nice and safety. Thank. you .,18-Jul-19
,
Today we had an amazing experience @ chutneys restaurant (cinnamon grand) . Food was great and the service given by Rashmika was excellent. I would recommend this restaurant for those who seeking for authentic indian taste in Colombo.,18-Jul-19
,
"We had a family evening out. Great atmosphere, lovely food. Enjoyed the evening. Especially, thanks to Sanjeewa who was very helpful, professional and for his great service. Will definitely visit again.",18-Jul-19
,
