Sentiment,Review,Movie,ID
negative,"  ""Paul, Apostle of Christ"" (PG-13, 1:47) is a biblical drama directed and co-written by Andrew Hyatt (""Full of Grace"", ""The Last Light"", ""The Frozen""), featuring an international cast which includes experienced actors from both film and television. The plot centers around the writing of the biblical book of Acts.The film opens with Jim Caviezel (who famously played Jesus in 2004's ""The Passion of the Christ""), as the apostle Luke, arriving in Rome as the Christian believers in the capital are suffering constant persecution under Emperor Nero - and the apostle Paul (James Faulkner) sits in prison awaiting his execution as an enemy of the empire. After conferring with Aquilla (John Lynch) and Priscilla (Joanne Whaley), the leaders of one Christian community in hiding, and tending to the medical needs of their people, Luke visits Paul. Aided by a prison guard, Luke starts paying regular visits under cover of night.Luke convinces Paul that the world needs the encouragement of hearing his story and Paul starts dictating what would later become known in the Bible as the Acts of the Apostles. This allows for brief flashbacks showing the journey of Saul of Tarsus (played by Yorgos Karamihos) from merciless persecutor of Christians to the loving, faithful imprisoned leader of the church. We also get to hear conversations between the two church fathers about the past, present and future of their faith. Even though a man named Mauritius (Olivier Martinez), the Roman officer in charge of the prison, learns of Luke's visits, he allows them to continue because he sees no harm in any of it - and he is intrigued by Paul and Luke, even as he prays and sacrifices to the Roman gods for the life of his sick daughter. As Luke continues to visit Paul, Aquilla and Priscilla struggle to keep their community together and safe in the face of the threat of violence (ranging from being beaten by Roman soldiers to literally being thrown to the lions) and internal disagreements about whether to stay in Rome or flee - and whether to answer Nero's persecution with the love Jesus preached or the more practical response of violence.""Paul, Apostle of Christ"" is an interesting and high-quality, but often dull portrayal of a pivotal period in early church history. In spite of the film's title, the amount of screen time devoted to Paul makes him little more than a supporting player in his own story. The script excels at character development, but contains little action, in spite of the abundance of drama which we know existed at this time and place. As ""talky"" as this film is, however, the performances are solid across the board - and particularly outstanding from the main actors - while the production values throughout the film are very high. Of course, we can legitimately question the historicity of the developments portrayed given that the filmmakers relied solely on biblical accounts, without the benefit of more objective histories. This film's strengths are its acting and its technical achievements. ""B-""",Paul Apostle of Christ,7795
negative,"  ""The Death of Stalin"" (R, 1:46) is a British political satire comedy, co-written and directed by Armando Iannucci, based on a French graphic novel, about the events leading up to, surrounding and immediately following the 1953 demise of Joseph Stalin, the long-time leader of the U.S.S.R. You might well wonder whether the violence of the Soviet dictator's regime would be appropriate fodder for a comedy film, or whether such a comedy could even work. Fair questions and, after watching this film, I'd say valid ones.The film opens with a dinner party thrown by Stalin (Adrian McLoughlin) and attended by his inner circle of Nikita Khrushchev and Georgy Malenkov (Golden Globe and Emmy winners Steve Buscemi and Jeffrey Tambor), Lavrentiy Beria (Simon Russell Beale) and Vyacheslav Molotov (Monty Python veteran Michael Palin). During that gathering, Stalin causes a minor panic by in a concert hall by personally asking for a recorded copy of that night's performance, and panic also comes to various individuals around Moscow as Stalin's security forces go after those on his most recent enemies list, as published by Beria. All of this tells us a lot about the main characters and Stalin's regime and nicely sets the stage for what is to come.The rest of the movie concerns itself with the titular event and its aftermath, focusing on the comical inefficiency of the Soviet regime and backstabbing among its high-ranking officials. After the aforementioned dinner party, after Stalin reads some hate mail sent to him by an idealistic and gutsy musician (Olga Kurylenko), then has a medical episode and collapses. Over the next 12 hours or so, Stalin's personal security detail, various government officials and a motley crew of doctors who are eventually called, all bungle their responses and Stalin dies. Then Stalin's children, a na�ve drama queen (Andrea Riseborough) and an unhinged alcoholic (Emmy nominee Rupert Friend) show up, adding to the mayhem, followed quickly by the self-important Soviet Army chief, Field Marshall Zhukov (Jason Isaacs). Meanwhile, the men in the dead dictator's inner circle jockey for power and scheme against each other.""The Death of Stalin"" is clever, but not as funny as it wants to be. The movie tries to walk the fine line between taking the events it depicts somewhat seriously and showing the ridiculousness of the Soviet system in the early-mid 1950s and the men who ran it. The film walks that line well, but in doing so, fails to be very entertaining. The tragic historical facts of Stalin's murderous regime and the way its inefficiency fueled the Cold War with the United States makes the jokes less funny, but the nods to the seriousness of those situations keep the jokes from going far enough to be funnier. Despite the excellent cast, that middle-of-the-road approach to making a comedy about Stalin's death results in a middle-of-the-road grade from me, teetering on the edge of whether to recommend this movie or not... but barely coming down on the side of not. ""C+""",The Death of Stalin,8293
negative,"  ""The Death of Stalin"" is an ambitious film that attempts to tackle overwhelmingly dark subject matter with wit and although it does manage a few laughs it come off as irreverent.",The Death of Stalin,8267
negative,"  ""The Laughs come in jolts and waves with savage one-liners.""Manohla Dargis New York Times""Often Hilarious"" Michael Phillips Chicago Tribune""A unique and hilarious British comedy.""Mike LaSalle San Francisco Chronicle""Source of hilarity and it is hilarious.""Bill Goodykoontz Arizona Republic""A complete bore! Did the above critics see the same movie I saw?""GreatMartin""The Death of Stalin"" is set in the 1950s and the fight for power in Russia after the dictator's death. Are you laughing yet? It supposedly is satire which implies irony or sarcasm and the director/writer, Armando Iannucci, tries everything from the Marx Brothers and the Three Stooges slapstick to insult comedy, chaos, no attempt at Russian accents having various accents ranging from Brooklyn to London but getting very few reactions from the audience.Iannucci is the writer of the much awarded HBO series ""Veep"" known for its comedy, irony, and sarcasm which it delivers with belly laughs, smiles, smirks, and humor while here he enlists 2 additional writers and the only smile/laugh I can remember is a crack about Grace Kelly!The cast consisting of Steve Buscemi, Michael Palin, Simon Russell Beale, Adrian McLoughlin, Jeffrey Tambor, Olga Kurylenko, Rupert Friend, Jason Issacs, Paddy Considine among others deliver the expected performances with a little scenery chewing now and then.Enjoy seeing people shot in the head, brains taken out of a head after the scalp is cut back and 'fun' things like that? Can you go another day without knowing that most good doctors in Russia were killed and that Stalin had lists of people to be killed?Those answering 'yes' to any of the questions asked should probably go and see ""The Death of Stalin"".The only questions I am asking myself is have I lost my sense of humor as I've grown older or is funny and/or satire not what it was defined years ago?",The Death of Stalin,8281
negative,"  ""This is not the Star Wars movie you're looking for.""",The Last Jedi,901
negative,"  ""This isn't going to go the way you think"". They warned us.",The Last Jedi,695
negative,"  ""Tomb Raider"" (PG-13, 1:58) is a reboot of the erstwhile Angelina Jolie franchise (with 2001 and 2003 ""Lara Croft Tomb Raider"" films). All the movies are based on the British ""Tomb Raider"" action-adventure video game series, which came on the scene in 1996. Like the games, the movies have used various combinations of ""Tomb Raider"" and ""Lara Croft"" (the franchises' central character) in their titles. Naming tweaks aside, the question is if the 2018 changes in casting & approach pay off for Movie Fans. While Jolie's casting and portrayal matched the look and attitude of the video game heroine, Oscar winner Alicia Vikander brings a leaner and less mean Lara Croft to the big screen. Jolie brought the bad-ass female archaeologist/adventurer to life with a lot of swagger, but Vikander's Croft is more physically and emotionally vulnerable, full of fight, but yet to realize her potential, intellectually or in practice. The quality both characterizations share is intelligence and guts, but 2018's ""Tomb Raider"" is an origin story.Seven years after the disappearance of her father, wealthy businessman and adventurer Lord Richard Croft (Dominic West), Lara is a woman with no plan. Obviously intelligent, she's content trying to be a mixed martial artist and working as a bicycle messenger. She wouldn't have to work at all, if she would just sign the documents declaring her father legally dead so she can inherit his company and his fortune, but she's having a very hard time letting go of the hope that her father, whom she idolizes, is still alive.When company officer (and Lara's former legal guardian), Ana Miller (Oscar nominee Kristin Scott Thomas), finally convinces Lara to swing by the office and sign those papers, Lara receives a Japanese puzzle box that her father left her. Solving the puzzle leads Lara to the discovery of what her father was really working on when he disappeared - trying to find the tomb of a legendary Japanese queen who supposedly possessed the power of life and death. Still hoping to find her father alive (or at least learn what happened to him), the clues lead Lara to Japan where she hires a reluctant but down-on-his-luck boat captain (Daniel Wu) to take her into the Devil's Sea to a remote island which is notoriously difficult to reach. Upon reaching the island, Lara discovers the ruthless Mathias Vogel (Emmy nominee Walter Goggins) leading an expedition to find the tomb for a mysterious international organization.Vikander's ""Tomb Raider"" (directed by Roar Uthaug) is a joyless, by-the-numbers actioner. In spite of Vikander's considerable talent and gravitas, she feels miscast as the tough and determined young adventurer. With the understanding that this is a Lara Croft origin story, it just becomes mind-numbing to see her beaten up throughout the movie, while none of the actors' performances rise about the level of serviceable. The script (by Evan Daugherty and Geneva Robertson-Dworet) features unnecessary dialog, characters whose motivations make little sense and a story which is mostly very predictable. Disappointing. ""C""",Tomb Raider,10222
negative,"  ""Tomb Raider""? More like ""Disney Princess in the Forest"". Horribly generic and boring, Vikander is completely miscast as ""Lara Croft"". Designed to please Social Justice Warriors while spitting in the face of millions of fans, it doesn't even make a good chick flick. Square Enix have allowed political correctness to destroy this once beloved icon. Any positives comments you read about this film is political bias, because, as a film, this is terrible from top to bottom.",Tomb Raider,10332
negative,"  #BlackPanther Review: ?? SAVE UR MONEY.Super hero ( ??) Black Panther has got no extra ordinary physical strength ( even if he drank sacred black panther water TWICE ) ?? U.S trained army beat the shit outta him! ????? He relies on his artificial bodysuit power all the time. This movie should be called ""BLACK BODYSUIT"" . ?? he even had to trick the villain in the final battle. ( his final battle was so damn short ?? & overshadowed by his team mates lol )OVERALL I DIDN'T FIND ANYTHING TO BRAG ABT IT ! ????? SAVE UR MONEY ?? LMFAO ??",Black Panther,2200
negative,"  (WARNING: INCLUDES SPOILERS) THIS MOVIE WAS FAIRLY BAD WITH THE EXCEPTION OF THE LAST TWENTY MINUTES, WHICH IS VISUALLY IMAGINATIVE (ESPECIALLY THE MIRRORING IDEA). WITH THAT SAID, I OFTEN FOUND MYSELF CRINGING, BORED, STRUGGLING TO BUY INTO THE CHARACTERS BACKSTORIES OR STRUGGLING TO FOLLOW THE WORLD'S / FILM'S LOGIC.WHY WOULD A WOMAN WHO IS AN EXPERT IN CELLULAR BIOLOGY WALK INTO A POTENTIALLY LETHAL ENVIRONMENT WITHOUT A HAZMAT SUIT? WHY SEND A GROUP COMPRISED OF ENTIRELY WOMEN, WHERE BIGGER STRONGER MORE EXPERIENCED MALE SOLDIERS FAILED TO GET OUT SAFELY, UNLESS AT LEAST A FEW OF THE WOMEN HAVE A BACKSTORY THAT INCLUDED SPECIAL ATTRIBUTES THAT WOULD ESTABLISH THEM AS EQUAL OR SUPERIOR SOLDERS OR WOULD MAKE THEM MORE SIGNIFICANTLY LIKELY TO SURVIVE IN THE ENVIRONMENT (UNLESS THEY WERE THE ONLY OPTIONS LEFT - WHICH THERE WAS NO INDICATION THAT THEY WERE)? WHY ARE THE WOMEN WALKING INTO THE SHIMMER? GUNS WORK IN THE SHIMMER, WHICH ARE MECHANICAL, SO WHY NOT A CAR? OR A HELICOPTER? WHY DIDN'T THE TEAM GO INTO THE SHIMMER WHEN THE EDGE WAS MUCH CLOSER TO THE LIGHTHOUSE? WHY IS THE WATER CLEAR IN THE BOTTLE ON THE BASE IN THE SHIMMER IF IT'S BEEN SITTING THERE FOR MONTHS (OR POSSIBLY OVER A YEAR) WHILE A MOSS LIKE SUBSTANCE SEEMS TO BE GROWING ON EVERYTHING AND EVERYWHERE ELSE? AT THE END OF THE MOVIE WE DISCOVER THINGS ABOUT HER HUSBAND THAT MAKE US QUESTION WHY HE WAS THROWING UP / SICK IN THE BEGINNING? I'M JUST SCRATCHING THE SURFACE HERE. THERE WERE HOLES EVERYWHERE IN THE PLOT. NEXT, THE ACTORS WERE OFTEN DISCONNECTED FROM EACH OTHER. NATALIE PORTMAN IS A GREAT ACTRESS, THIS IS THE WORST PERFORMANCE I CAN REMEMBER EVER SEEING HER GIVE, AND IT'S MOSTLY BECAUSE OF DIRECTING ISSUES. IN ESSENTIAL SCENES SHE'S NOT CONNECTED TO THE OTHER ACTORS. IN MULTIPLE SCENES I THOUGHT, ""IF I WAS HAVING A CONVERSATION LIKE THAT, THAT'S NOT HOW OR WHERE I (OR THE OTHER PERSON) WOULD STAND, MOVE, OR HOW I WOULD REACT VERBALLY OR NON-VERBALLY.SO MUCH OF THIS MOVIE AND THE SCRIPT FEELS FORCED AND POORLY THOUGHT OUT. IT'S DONE TO BE DONE, NOT BECAUSE IT MAKES SENSE WITHIN THE WORLD OF THE FILM. THE MAIN CHARACTERS HAVE TO GO TO THE LIGHTHOUSE BECAUSE THEY NEEDED SOMEWHERE TO GO TO MAKE THE MOVIE WORK. THE WOMEN WENT INTO THE SHIMMER WITHOUT HAZMAT SUITS SO THERE WOULD BE MORE CHALLENGES / WAYS FOR THEIR BODIES TO BE PHYSICALLY AFFECTED BY THE ENVIRONMENT WITHIN THE SHIMMER. IT'S ALL WOMEN LEADS BECAUSE SOMEONE WANTED TO MAKE A MOVIE WITH AN ALL FEMALE CAST (I DON'T MIND THIS, JUST RATIONALIZE IT - WHY DOES IT HAVE TO BE THESE PEOPLE AND NO-ONE ELSE? - THEY ALL HAVE NOTHING TO LOSE, FEEL GUILTY FOR SOMETHING, OR HAVE A BACKGROUND IN SCIENCE ISN'T GOOD ENOUGH). WITHOUT GIVING TOO MUCH AWAY, NATALIE PORTMAN'S REASON FOR GOING INTO THE SHIMMER WASN'T DEVELOPED ENOUGH TO MAKE ME THINK THAT SHE SHOULD GO IN.I'M SUPER DISAPPOINTED, IF IT WASN'T FOR THE ""BEAR SCENES AND POST BEAR SCENES"" WHICH GOT AN EMOTIONAL REACTION FROM ME BECAUSE THEY WERE JARRING, OR THE CLIMAX SCENES BECAUSE THEY WERE DIFFERENT THAN THINGS I'VE SEEN IN OTHER SCIFI ALIEN MOVIES, AND THEY GOT MY IMAGINATION GOING, I WOULD ARGUE THIS IS THE WORST MOVIE THAT I'VE SEEN SINCE NINJA TURTLES, AND THAT'S THE ONLY MOVIE I'VE EVER WALKED OUT OF A THEATER BECAUSE I THOUGHT IT WAS UNWATCHABLE.",Annihilation,4480
negative,"  *** ""CREATURE FROM THE BLACK LAGOON"" + ""SPLASH"" = ""BOOTY CALL AND THE BEAST"" ***",The Shape of Water,8789
negative,"  *****SPOILER ALERT******Annihilation ruined rainbows for me, maybe for everyone. Natalie Portman's acting couldn't save the sloppy, lazy script. The film beats the viewer over its head with the concept of cell duplication to the point it becomes insulting. They managed to put man-bear-pig in a serious sci-fi film with an anti-climatic demise to the heroine soldier. Rainbows. The visual effects were often shameful, the tracking was constantly off and they didn't bother to animate the deer so they would move independently as they naturally would. At times I could see where the matte painting stopped and the set started. People turn into flowers (which could've been beautiful and more meaningful if done well and shown). Rainbows. They turned aliens into a cheap fashion show. Rainbows. An awkward emotional alien-rape scene. Some of the acting was cringe-worthy, though the script definitely was the primary reason it came across as forced. Did I mention rainbow flares? They even put them in night scenes! They're so overused you can't even make a drinking game out of it. Also, why did they have to show Natalie Portman cheating on her husband and antagonize her with no resolution whatsoever. In the end, Alex will wish making this 40 million dollar extravaganza was a bad mushroom trip, though he may never come down. Rainbows.",Annihilation,4668
negative,"  ***D-Box Review for Tomb Raider*** (DON'T WASTE YOUR MONEY ON D-BOX!!!!!!!!) Must of been our night to hang out in Union Landing because everywhere we went was a bundle of joy...:-/ We have been to this theatre a ton of times and have spent a lot of money...my wife and I tried D-Box for the first time when Black Panther came out and enjoyed it. My wife even bought more tickets to take our nephew to enjoy the experience. My wife was hooked and bought it for Tomb Raider....it sucked...I forgot that we had even purchased D-Box for the seats because it only really worked 2 times throughout the movie...we paid that much for what? Should of called it D-Box-Sucks. We ended up getting someone to ask about this experience. Xavier the Assistant manager said the experience is on each individual and it may differ depending on the person..blah blah blah....we paid for a rocking chair...Xavier then went to speak with the Senior Manager Mike E. and he said there is nothing they can do for us...basically we got robbed....I asked how come there isn't some type of disclosure or anything staying how intense or whack the experience will be for that movie. Now that I'm done with this, time to contact corporate because although the movie was entertaining, we got robbed for D-Crap-Box...Xavier had advised me he doesn't buy D-Box-Sucks tickets...I wonder why...I wish I would of known that before we wasted our money on a squeaky chair.",Tomb Raider,10121
negative,"  *SPOILERS*VISUALLY, a strikingly beautiful and stunning pastiche of better films. A painfully obvious direct ripoff and patchwork reassembly of SPLASH and the Dutch short film THE SPACE BETWEEN US. Even the title of the short film is perfectly echoed in one of the feature film's most iconic shots. Even the recurring verdant sets clearly derivative of Edward Hopper's ""The Nighthawks"", which I kept expecting to see as an Easter egg on a wall. Unfortunately, this flagrant copy breaks no new ground in terms of storytelling. The plot feel and characterization are remarkably shallow. The underlying MESSAGE, strongly anti-white, anti-capitalist, and anti-Christian. The utterly detestable Michael Shannon plays the villain, who is painstakingly painted as a married white Christian male. We got it. And as a cheat, a hypocrite, a racist, a sadist, a misogynist, and a rapey sexual pervert. He despises women, even as he uses them only for sexual gratification and menial labor. He commits anti-Christian acts at every turn whilst paying lip service to God. He is so racist that even his blackening, gangrenous fingers offend him so much he rips them off his body. THEMATICALLY, strong arcs of bestiality and homosexuality complete the anti-Christian mix. Even the mechanism of copulation between fish-man and human-fish-woman was carefully described to make sure we couldn't miss it. A gratuitous masturbation scene was thrown in, presumably to make us understand Sally Hawkins' character was lonely and rejected. We got it. The pro-Communist theme completed by the hero of the film being a Russian communist spy. The American military depicted as crude, unthinking fascists bent on jingoism and evil-doing. The lonely outcasts of society were showcased and denigrated aplenty, with a particularly gruesome mockery of mute persons.STRUCTURALLY, a shot-for-shot ripoff of the aforementioned films, with storyboards you could lay on top of each other and identically trace. The twist was obvious from the beginning, and the entire film very predictable.ACTING was top shelf. Octavia Spencer was her typical likeable and comedic self and did a very fine job. Sally Hawkins and the rest of the cast were also excellent.Highly overrated, with the thefts and warts overlooked due to the trending politically correct anti-American and anti-Christian themes, and other SJW-ish factors. It would be far more enjoyable to one who is blind to, or agrees with its messages, and who has never seen SPLASH and doesn't know about the blatant theft from the short film. I couldn't overcome the negatives and was left feeling disappointed and ripped off.**.25/*****. 92/75. PASS.",The Shape of Water,8506
negative,"  *Spoilers. Where to start with this piece of work? There were a lot of underdeveloped/pointless new characters and I would argue old characters (from pre-disney) didn't live up to their potential (Luke Skywalker, Leia). Some costumes (Such as Holdo's dress) didn't fit the scenes. A lot of hypocritical actions like Leia pushing responsibility for military deaths onto Poe for actions she had the authority and awareness to stop (when Poe led a successful assault to destroy a lethal threat) or when Rose stopped Finn from committing suicide to protect the resistance and then telling him that the only way to win is to protect the people he loves (which is what he was trying to do and almost did, Rose literally almost got the resistance killed). First Order are childish villains and would be lacking punch if it weren't for the resistance being just as incompetent (First Order are supposed to be a military, yet their general is literally toyed with in the opening scene by an idiot, like an idiot). Old characters are literally killed in the most lacklustre ways. Epic Rey training montage missing. Phasma exists, and then doesn't. Snoke exists, kind of reveals his grand plan, stops existing because Deus Ex Machina. To finish, CANTO BITE (Oh god why was this even recorded). This movie had large backing, talent, and still ended up in a state which leaves me deeply unsatisfied. It shows you the potential gold behind the could-be genius lazing on a couch. Not saying this movie is the worst thing I've ever seen, it's just not something I consider a good movie. 0.5/10 to balance the freaking critics giving this movie 5 stars (91%? Really...). I honestly think it's about a 2.5, or 3 tops.",The Last Jedi,770
negative,"  ...She had sex with a water monster! How is that not more disturbing and absurd with people? This utterly bizarre, really rather gross ""romance"" is probably going to win all the Oscars in the world, and I cannot for the life of me understand why. Gillermo Del Toro deserves an academy award. Absolutely. But while ""Pan's Labyrinth"" was a modern fairy tale masterpiece, this was just offsetting and creepy. Inter-species romance-I'm just not ready for it, I guess. Call me a prude, but the idea of a human actually mating with what is basically a space alien is NOT for me. But the performances were great. The cinematography, effects, lighting, costumes, sets and music were through the roof. From a technical standpoint, this film is a wonder. The actors have been rightly nominated for Oscars. For those reasons, I gave it 2.5/5 stars. But the plot was ABSURD. And the moment when a sea beast starts dancing on a '30s style bandstand is howlingly insane. I'll give it this: it was certainly memorable. And to be honest, perhaps that's enough these days. Creativity should be lauded, and this movie's going to win big at those all-important academy awards. Del Toro will be rightly recognized for his fantastic work. And so it goes.",The Shape of Water,9072
negative,  ????? ??? ?? ??? ??????? ??????? ??????? ?????????? ??????.??? ??????? ? ????????? ? ????????!!!,Black Panther,2309
negative,"  ??????, ??? ????? ??????????????? ????????????? ?????? ????????? ?? ??? ????????? ??????. ??? ?? ??????????? ????????? ??????? ? ???? ?? ????? ????. ???? ?? ??????? ????? ?????, ??? ??????? ?????-??????, ???????, ?????????, ???????, ?? ???? ???, ??? ????????? ?? ???????????? ????????.",Black Panther,2670
negative,  ???????????????? People like this shit?!!,Ready Player One,1784
negative,"  [Spoilers ahead]Addressing a challenging and important idea - of humanity being ""consumed"" by social networks - Ready Player One falls short. It seems like all dialogues occur between children in the kindergarten and the main antagonist is just a bully from another neighborhood. Memories recorded by Halliday tell about childish quarrels rather than bring up philosophical message of making (inevitable) mistakes and being sorry for them a whole life. In just a matter of minutes heroes change sides, fall on love, loose family members, but it is not a problem for them to continue playing an extremely boring world of the OASIS. It is hard to grasp any idea or message of Ready Player One - except that total domination of VR social networks which leads to people loosing real money, health and their lives is actually fine. The only thing which is needed to be done by ""good"" protagonists is to establish two ""days-off"" from the game per week.One may enjoy both obvious and hidden links to other movies and games, but that's everything that Ready Player One has to offer.",Ready Player One,1091
negative,"  +: VFX, SFX, Acting -: Script (consistency, characters, events, ...)",The Last Jedi,432
negative,  0/10 too many black people,Black Panther,2646
negative,"  1/2 star (only because I don't award zero stars)The way they see this villain is the way they see all non-leftists.Honestly, would be 5 stars if it ended the moment he shot them.Words cannot convey how bad this is. The cheerfulness of The Triumph of the Will, and a similar intent (kill the people who stand in the way of our perfect world of ""love"").I'm just going to end up writing a point by point dissertation about everything that makes this such an abortion of a movie...First scene is masturbatory. Obligatory gay mentor. Sassy black woman. Fart jokes. Uptight religious man. Old southern racist white villain. Weapon crazy. Sympathetic communists. Virtue signaling about civil rights. Equating humans with animals. Impugning moral cognizance to animals. Bestiality. Pagan worship. Inherent goodness. This is everything garbage about hollywood. One of the most one-dimensional, virtue-signalling movies I've ever seen. In Splash, she had to become human for sex. Not so, in today's hollywood. smh. No build up. No character complexity. Everything just happens all at once. It's horrible storytelling. Does anyone know how it got there & what it's doing there? Get a puppy! Just don't f it.It displays the selfishness of such people. She wants water sex, despite the damage it will do to the building and neighbors.The idea that a bathroom could stay filled with via towels on the floor is so banally stupid as to be insulting. The 21st century woman. Profane and perverted. Like Kimmel said, the only ""good"" men are gay, soviets, or fish. Pre-torture monologuing villain cliche is such poor writing. Truly, I could never love someone who loved this movie. Additionally, the crap writing of never explaining the scars. But everything else is so bad, a narrative misstep is the least of the problems.""God looks human like you... well, maybe more like me.""They thought this was clever? Seriously, who votes on this? Puerile, banal, cartoon drama. So overplaying the foreign empathy card as to do away with any semblance of reality. Mawkish. They became bff's after one meeting. Cause sea creatures are so common and easily understood. The worst kind of puerile hollywood schlock.Del Toro also overplays his hand in characterizing the heroes. Midway into the film, he reveals that Giles is gay when the character makes a pass at a friendly restaurant owner; the latter promptly kicks Giles out of the restaurant, along with a black couple who want to eat there. Though superfluous to the story, the scene reflects the movie's mission, to inspire sympathy with outsiders and anger toward anyone who would prevent them from experiencing love. This simplistic reduction of cold war-era society divides people into open-minded dreamers and narrow-minded villains. del Toro lays it on so thick that there's no room for counterargument or even independent thought. Ultimately his perspective is every bit as confining as the giant tank housing the creature at the lab, The best movie is now the one which makes me feel most righteous about myself for being a neo-Marxist left-winger. That's it. There is no other criteria.Too comfortable with itself to create any real dramatic tension.The film's heroes are so tolerant that they don't think to question the notion of a woman hooking up with a member of another species...del Toro isn't willing to acknowledge uncertainty or emotional or moral fallibility on the part of his heroesWithout a moment's hesitation, the fish is literally choosing which crappy jazz records to listen to her with. I'm supposed to take this seriously as art. Obligatory bigotry scene that has nothing to do with the story, except that it makes identity politicians feel good about themselves.""Just because I'm being nice, doesn't mean I want to be assaulted, gay neighbor.""If you have family values that don't include sodomy, you're probably a racist.Soviet spy will teach us about immigration.""I like that you're a mute, cuz I don't want my women speaking!"" Gimme a break.I was going for hands on hips pee guy because I felt sympathy for him for being written so one-dimensionally.I'm allowed to commit felony crime if I feel emotional about something.Hollywood demonstrated again that a movie doesn't actually have to be good to win best picture. It only has to offer the opportunity for liberal moral self-congratulation. #OscarsIt looked at her nice, so she obviously needs to keep it & prevent humanity to learn about a new species' biology. The irony is, it's only an immaterialist moral system that puts individual self-worth over collective. However, gillmen don't actually exist.I'm going to murder a human to save the life of an animal, under biological study. They should all hang.Happily ever after movies are usually panned by critics. I guess you have to be a minority or inter-bestial.These stupid people think that any kind of difference must be grounds for acceptance, not realizing there are considerations to acknowledge first, which they themselves admit to & betray.The plot is your basic disney kids dog pound plot. With added SJW. I love how they're portraying the villains as easily duped by ppl other than special forces... doesn't that take away from the ""heroism"" of the kidnapping?Yes, they're so quick to relate to anyone different....except, you know, the one-dimensional nazis the kill.A cold war movie where the creature & the soviet are the good guys. This is not by accident.And of course, the old familiar morally pure animal trope watching human evil in horror. Of course, the white nuclear family is the one where things are awry. Thank you, hollywood, for defending us from the horrors of suburbia.Bottom line, you can dress up crap, but it's still crap. Even if it's Academy awarded. This is nothing more than fish porn. Make no mistake. This is perversion. It is hollywood.",The Shape of Water,8609
negative,"  100 veces mejor el libro de la vida y con una historia muy cercana. No es triste, no es particularmente emotiva e incluso es lenta. Puro hype y una ""familia dividida que se junta"" y todos la encuentran la mejor del año",Coco,5256
negative,"  15 minutes INTO THE MOVIEW, I TOLD MYSELF ""OK I GET IT, CAN I GO""",The Shape of Water,8630
